id;t;y;sd;n;rob;indirectness
121305;Ohigh;-23;18;302;2;1
121305;Olow+Ohigh;-25;18;119;2;1
121398;Ohigh;29;17.36;60;3;2
121398;Ohigh+Ant;23;17.36;60;3;2
121516;NSAID;3;33.9411255;18;2;2
121516;Olow;27;33.9411255;18;2;2
121516;Placebo;54;25.45584412;18;2;2
121518;Olow;-80;53.33333333;30;1;1
121518;Cannab;-78.33333333;55;30;1;1
121518;Placebo;-36.66666667;43.33333333;30;1;1
121519;Olow;44.66666667;39;30;3;3
121519;Olow+NSAID;44.33333333;37.33333333;29;3;3
121519;NSAID;49.33333333;44.33333333;29;3;3
121705;Olow+NSAID;-55.6;11.5361421;39;1;1
121705;NSAID+Ant;-55.7;12.62696133;42;1;1
121705;NSAID;-61.5;11.38212383;36;1;1
121707;Ohigh;40;30;20;2;1
121707;Olow;37.5;32.5;20;2;1
122315;Ohigh;-25.6;15.5241747;33;2;1
122315;Olow+Ohigh;-29.1;14.35130656;34;2;1
122354;Ohigh;40.7;17.59;20;1;1
122354;Ohigh+Anta;44.2;17.59;20;1;1
122514;Ohigh;2.3;14.54303957;94;1;1
122514;Placebo;11.4;16.56955039;95;1;1
121911;Ohigh;76;17.59;60;1;1
121911;Ohigh+NSAID;59;17.59;60;1;1
122524;Ohigh;40.08474576;20;118;1;1
122524;Placebo;52.5;20;37;1;1
122904;nO;43.41139241;17.59;79;1;1
122904;Ohigh;39.9;17.59;42;1;1
